date,value
2023-09-30,4.03
2023-10-31,4.42
2023-11-30,3.84
2023-12-31,3.39
2024-01-31,3.59
2024-02-29,3.29
2024-03-31,3.15
2024-04-30,3.18
2024-05-31,3.2
2024-06-30,3.21
2024-07-31,3.25
2024-08-31,3.17
2024-09-30,3.03
2024-10-31,2.88
2024-11-30,2.74
2024-12-31,2.92
2025-01-31,2.68
2025-02-28,2.87
2025-03-31,3.55
2025-04-30,3.94
2025-05-31,3.32
2025-06-30,2.96
2025-07-31,2.86
2025-08-31,2.84
2025-09-30,2.8
2025-10-31,2.94
2025-11-30,2.92
2025-12-31,2.81
2026-01-31,2.88
2026-02-28,3.12
2026-03-31,3.28
2026-04-30,2.83
2026-05-31,2.74
2026-06-30,2.75
2026-07-31,2.85
2026-08-31,2.63
2026-09-30,2.7
