date,value
1999-01-31,1.1371
1999-02-28,1.0995
1999-03-31,1.0808
1999-04-30,1.0564
1999-05-31,1.0422
1999-06-30,1.031
1999-07-31,1.0694
1999-08-31,1.0581
1999-09-30,1.0643
1999-10-31,1.0518
1999-11-30,1.0077
1999-12-31,1.007
2000-01-31,0.9757
2000-02-29,0.9643
2000-03-31,0.9574
2000-04-30,0.9089
2000-05-31,0.9328
2000-06-30,0.9545
2000-07-31,0.9266
2000-08-31,0.8878
2000-09-30,0.8837
2000-10-31,0.8486
2000-11-30,0.8694
2000-12-31,0.9388
2001-01-31,0.9308
2001-02-28,0.9212
2001-03-31,0.8794
2001-04-30,0.8874
2001-05-31,0.8455
2001-06-30,0.8474
2001-07-31,0.8752
2001-08-31,0.909
2001-09-30,0.9099
2001-10-31,0.8993
2001-11-30,0.8958
2001-12-31,0.8901
2002-01-31,0.8594
2002-02-28,0.8658
2002-03-31,0.8717
2002-04-30,0.9002
2002-05-31,0.9339
2002-06-30,0.9856
2002-07-31,0.9796
2002-08-31,0.9806
2002-09-30,0.9879
2002-10-31,0.9881
2002-11-30,0.9932
2002-12-31,1.0485
2003-01-31,1.0739
2003-02-28,1.0779
2003-03-31,1.09
2003-04-30,1.118
2003-05-31,1.1766
2003-06-30,1.1502
2003-07-31,1.1231
2003-08-31,1.0986
2003-09-30,1.165
2003-10-31,1.1609
2003-11-30,1.1995
2003-12-31,1.2597
2004-01-31,1.2452
2004-02-29,1.2441
2004-03-31,1.2292
2004-04-30,1.1975
2004-05-31,1.2217
2004-06-30,1.2179
2004-07-31,1.2032
2004-08-31,1.2183
2004-09-30,1.2417
2004-10-31,1.2746
2004-11-30,1.3259
2004-12-31,1.3538
2005-01-31,1.3049
2005-02-28,1.3274
2005-03-31,1.2969
2005-04-30,1.2919
2005-05-31,1.2349
2005-06-30,1.2098
2005-07-31,1.2129
2005-08-31,1.233
2005-09-30,1.2058
2005-10-31,1.1995
2005-11-30,1.179
2005-12-31,1.1842
2006-01-31,1.2158
2006-02-28,1.1925
2006-03-31,1.2139
2006-04-30,1.2624
2006-05-31,1.2833
2006-06-30,1.2779
2006-07-31,1.2764
2006-08-31,1.2793
2006-09-30,1.2687
2006-10-31,1.2773
2006-11-30,1.3261
2006-12-31,1.3197
2007-01-31,1.2998
2007-02-28,1.323
2007-03-31,1.3374
2007-04-30,1.366
2007-05-31,1.3453
2007-06-30,1.352
2007-07-31,1.3711
2007-08-31,1.3641
2007-09-30,1.4219
2007-10-31,1.4468
2007-11-30,1.4688
2007-12-31,1.4603
2008-01-31,1.4841
2008-02-29,1.5187
2008-03-31,1.5805
2008-04-30,1.5568
2008-05-31,1.556
2008-06-30,1.5748
2008-07-31,1.5589
2008-08-31,1.4669
2008-09-30,1.4081
2008-10-31,1.2682
2008-11-30,1.2694
2008-12-31,1.3919
2009-01-31,1.2804
2009-02-28,1.2662
2009-03-31,1.3261
2009-04-30,1.3244
2009-05-31,1.4126
2009-06-30,1.402
2009-07-31,1.4279
2009-08-31,1.4354
2009-09-30,1.463
2009-10-31,1.4755
2009-11-30,1.4994
2009-12-31,1.4332
2010-01-31,1.387
2010-02-28,1.366
2010-03-31,1.3526
2010-04-30,1.3302
2010-05-31,1.2369
2010-06-30,1.2291
2010-07-31,1.3069
2010-08-31,1.2704
2010-09-30,1.3601
2010-10-31,1.3894
2010-11-30,1.3036
2010-12-31,1.3269
2011-01-31,1.3715
2011-02-28,1.3793
2011-03-31,1.4183
2011-04-30,1.4821
2011-05-31,1.4376
2011-06-30,1.4523
2011-07-31,1.4388
2011-08-31,1.4406
2011-09-30,1.3449
2011-10-31,1.3947
2011-11-30,1.3453
2011-12-31,1.2973
2012-01-31,1.3053
2012-02-29,1.3359
2012-03-31,1.3334
2012-04-30,1.3229
2012-05-31,1.2364
2012-06-30,1.2668
2012-07-31,1.2315
2012-08-31,1.2578
2012-09-30,1.2856
2012-10-31,1.2958
2012-11-30,1.301
2012-12-31,1.3186
2013-01-31,1.3584
2013-02-28,1.3079
2013-03-31,1.2816
2013-04-30,1.3168
2013-05-31,1.2988
2013-06-30,1.301
2013-07-31,1.3282
2013-08-31,1.3196
2013-09-30,1.3535
2013-10-31,1.3594
2013-11-30,1.3606
2013-12-31,1.3779
2014-01-31,1.35
2014-02-28,1.3806
2014-03-31,1.3777
2014-04-30,1.387
2014-05-31,1.364
2014-06-30,1.369
2014-07-31,1.339
2014-08-31,1.315
2014-09-30,1.2628
2014-10-31,1.253
2014-11-30,1.2438
2014-12-31,1.2101
2015-01-31,1.129
2015-02-28,1.1197
2015-03-31,1.0741
2015-04-30,1.1162
2015-05-31,1.0994
2015-06-30,1.1154
2015-07-31,1.1028
2015-08-31,1.1194
2015-09-30,1.1162
2015-10-31,1.1042
2015-11-30,1.0562
2015-12-31,1.0859
2016-01-31,1.0832
2016-02-29,1.0868
2016-03-31,1.139
2016-04-30,1.1441
2016-05-31,1.1135
2016-06-30,1.1032
2016-07-31,1.1168
2016-08-31,1.1146
2016-09-30,1.1238
2016-10-31,1.0962
2016-11-30,1.0578
2016-12-31,1.0552
2017-01-31,1.0794
2017-02-28,1.0618
2017-03-31,1.0698
2017-04-30,1.0895
2017-05-31,1.1236
2017-06-30,1.1411
2017-07-31,1.1826
2017-08-31,1.1894
2017-09-30,1.1813
2017-10-31,1.1648
2017-11-30,1.1898
2017-12-31,1.2022
2018-01-31,1.2428
2018-02-28,1.2211
2018-03-31,1.232
2018-04-30,1.2074
2018-05-31,1.167
2018-06-30,1.1677
2018-07-31,1.1706
2018-08-31,1.1596
2018-09-30,1.1622
2018-10-31,1.1332
2018-11-30,1.1323
2018-12-31,1.1456
2019-01-31,1.1454
2019-02-28,1.1379
2019-03-31,1.1228
2019-04-30,1.1201
2019-05-31,1.1149
2019-06-30,1.1374
2019-07-31,1.113
2019-08-31,1.0989
2019-09-30,1.0905
2019-10-31,1.1155
2019-11-30,1.1019
2019-12-31,1.1227
2020-01-31,1.1082
2020-02-29,1.1001
2020-03-31,1.1016
2020-04-30,1.0934
2020-05-31,1.1107
2020-06-30,1.1237
2020-07-31,1.1822
2020-08-31,1.195
2020-09-30,1.1723
2020-10-31,1.1647
2020-11-30,1.1948
2020-12-31,1.223
2021-01-31,1.2135
2021-02-28,1.2093
2021-03-31,1.1743
2021-04-30,1.203
2021-05-31,1.2194
2021-06-30,1.1848
2021-07-31,1.1864
2021-08-31,1.18
2021-09-30,1.1577
2021-10-31,1.1552
2021-11-30,1.1287
2021-12-31,1.1318
2022-01-31,1.1212
2022-02-28,1.1224
2022-03-31,1.1093
2022-04-30,1.0537
2022-05-31,1.0731
2022-06-30,1.0469
2022-07-31,1.0202
2022-08-31,1.0065
2022-09-30,0.9783
2022-10-31,0.9885
2022-11-30,1.0323
2022-12-31,1.0698
2023-01-31,1.0858
2023-02-28,1.0602
2023-03-31,1.0872
2023-04-30,1.104
2023-05-31,1.0654
2023-06-30,1.092
2023-07-31,1.102
2023-08-31,1.0839
2023-09-30,1.0584
2023-10-31,1.0568
2023-11-30,1.0908
2023-12-31,1.1062
2024-01-31,1.0855
2024-02-29,1.0807
2024-03-31,1.0791
2024-04-30,1.0684
2024-05-31,1.0846
2024-06-30,1.0711
2024-07-31,1.0823
2024-08-31,1.106
2024-09-30,1.1145
2024-10-31,1.0855
2024-11-30,1.0547
2024-12-31,1.0351
2025-01-31,1.04
2025-02-28,1.0402
2025-03-31,1.0796
2025-04-30,1.1349
2025-05-31,1.1347
2025-06-30,1.177
2025-07-31,1.1431
2025-08-31,1.1695
2025-09-30,1.1735
2025-10-31,1.1541
2025-11-30,1.16
2025-12-31,1.1736
2026-01-31,1.1885
2026-02-28,1.1822
2026-03-31,1.1518
2026-04-30,1.1729
2026-05-31,1.1679
2026-06-30,1.1417
2026-07-31,1.1519
2026-08-31,1.1617
2026-09-30,1.1604
