date,P,E,CPI,CAPE
1871-01-31,4.44,0.4,12.46406116,
1871-02-28,4.5,0.4,12.84464132,
1871-03-31,4.61,0.4,13.0349719,
1871-04-30,4.74,0.4,12.55922645,
1871-05-31,4.86,0.4,12.27381157,
1871-06-30,4.82,0.4,12.08348099,
1871-07-31,4.73,0.4,12.08348099,
1871-08-31,4.79,0.4,11.8932314,
1871-09-30,4.84,0.4,12.17864628,
1871-10-31,4.59,0.4,12.36889587,
1871-11-30,4.64,0.4,12.36889587,
1871-12-31,4.74,0.4,12.65439174,
1872-01-31,4.86,0.4025,12.65439174,
1872-02-29,4.88,0.405,12.65439174,
1872-03-31,5.04,0.4075,12.84464132,
1872-04-30,5.18,0.41,13.13013719,
1872-05-31,5.18,0.4125,13.13013719,
1872-06-30,5.13,0.415,13.0349719,
1872-07-31,5.1,0.4175,12.84464132,
1872-08-31,5.04,0.42,12.93980661,
1872-09-30,4.95,0.4225,13.0349719,
1872-10-31,4.97,0.425,12.74947603,
1872-11-30,4.95,0.4275,13.13013719,
1872-12-31,5.07,0.43,12.93980661,
1873-01-31,5.11,0.4325,12.93980661,
1873-02-28,5.15,0.435,13.22522149,
1873-03-31,5.11,0.4375,13.22522149,
1873-04-30,5.04,0.44,13.22522149,
1873-05-31,5.05,0.4425,12.93980661,
1873-06-30,4.98,0.445,12.55922645,
1873-07-31,4.97,0.4475,12.55922645,
1873-08-31,4.97,0.45,12.55922645,
1873-09-30,4.59,0.4525,12.55922645,
1873-10-31,4.19,0.455,12.27381157,
1873-11-30,4.04,0.4575,11.8932314,
1873-12-31,4.42,0.46,12.17864628,
1874-01-31,4.66,0.46,12.36889587,
1874-02-28,4.8,0.46,12.36889587,
1874-03-31,4.73,0.46,12.36889587,
1874-04-30,4.6,0.46,12.17864628,
1874-05-31,4.48,0.46,12.08348099,
1874-06-30,4.46,0.46,11.79806612,
1874-07-31,4.46,0.46,11.8932314,
1874-08-31,4.47,0.46,11.79806612,
1874-09-30,4.54,0.46,11.79806612,
1874-10-31,4.53,0.46,11.60773554,
1874-11-30,4.57,0.46,11.51265124,
1874-12-31,4.54,0.46,11.51265124,
1875-01-31,4.54,0.4517,11.51265124,
1875-02-28,4.53,0.4433,11.51265124,
1875-03-31,4.59,0.435,11.51265124,
1875-04-30,4.65,0.4267,11.60773554,
1875-05-31,4.47,0.4183,11.32232066,
1875-06-30,4.38,0.41,11.13207107,
1875-07-31,4.39,0.4017,11.13207107,
1875-08-31,4.41,0.3933,11.22715537,
1875-09-30,4.37,0.385,11.13207107,
1875-10-31,4.3,0.3767,11.13207107,
1875-11-30,4.37,0.3683,11.03690579,
1875-12-31,4.37,0.36,10.9417405,
1876-01-31,4.46,0.3533,10.84657521,
1876-02-29,4.52,0.3467,10.84657521,
1876-03-31,4.51,0.34,10.84657521,
1876-04-30,4.34,0.3333,10.75149091,
